category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Tietokirjallisuus->Taloustiede,Taloustiede,"Strateginen markkinoinnin suunnittelu","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Strateginen markkinoinnin suunnittelu.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Malcolm McDonald",,WSOY,,"1. p",1995,234,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833584,instock,simple,yes,Tietokirjallisuus->Taloustiede,7,
"Tietokirjallisuus->Avaruus ja tähtitiede","Avaruus ja tähtitiede","Tähtikartta - Erillispainos ","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Tähtikartta.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"URSA (toim.)",,WSOY,,"1. p",1950,,Kansio,Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833585,instock,simple,yes,"Tietokirjallisuus->Avaruus ja tähtitiede",7,
"Harrastekirjallisuus->Numismatiikka ja heraldiikka","Numismatiikka ja heraldiikka","Eurosetelit ja eurokolikot","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Eurosetelit ja eurokolikot.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,,,WSOY,,"1. p",,"6 painoarkkia irrotettavaa leikkirhaa + kansi",Kansio,Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833586,instock,simple,yes,"Harrastekirjallisuus->Numismatiikka ja heraldiikka",7,
Tietokirjallisuus->Karjala,Karjala,"Muistojemme Käkisalmi - Näytearkki","[ 8 valokuvasivua ] Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Muistojemme käkisalmi.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,,,WSOY,,"1. p",1950,8,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833587,instock,simple,yes,Tietokirjallisuus->Karjala,7,
Tietokirjallisuus->Tekniikka,Tekniikka,"Käsi- ja oppikirja metallisorvareille","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Käsi ja oppikirja metallisorvareille.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"F.A. Paloheimo",,WSOY,,"3. p",1922,150,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833588,instock,simple,yes,Tietokirjallisuus->Tekniikka,7,
Tietokirjallisuus->Historia,Historia,"Paikallishistoriallisen tutkimuksen opas","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Paikallishistoriallisen tutkimuksen opas.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,,,WSOY,,"1. p",1945,333,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833589,instock,simple,yes,Tietokirjallisuus->Historia,7,
"Kaunokirjallisuus->Jännitys ja kauhu","Jännitys ja kauhu","Intohimon karma - Japanilaisia kummitustarinoita",,"Intohimon karma.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Lafcadio Hearn",,Orienta,,"1. p",2003,160,"Nidottu kansipaperein",Suomi,"Normaali käytetty",,,,35,,published,yes,1,,no,833590,instock,simple,yes,"Kaunokirjallisuus->Jännitys ja kauhu",7,
Kaunokirjallisuus->Romaanit,Romaanit,"Yksi lensi yli käenpesän","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Yksi lensi yli käenpesän.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Ken Kesey",,WSOY/SSKK,,"2. p",1975,388,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833591,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Lääketieteen sanakirja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Lääketieteen sanakirja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Niilo Pesonen / Eero Ponteva",,WSOY,,"6. p",1980,560,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833592,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
"Tietokirjallisuus->Suomen historia","Suomen historia","Suomalainen puukaupunki",,"Suomalainen puukaupunki.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Henrik Lilius",,"Anders Nyborg A/S",,"1. p",1985,219,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833593,instock,simple,yes,"Tietokirjallisuus->Suomen historia",7,
