category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Tietokirjallisuus->Kasvitiede,Kasvitiede,"Puutarhanhoidollisia pikkutietoja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Puutarhanhoidollisia pikkutietoja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Frans Salonen",,WSOY,,"1. p",1928,136,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833692,instock,simple,yes,Tietokirjallisuus->Kasvitiede,7,
Tietokirjallisuus->Kasvitiede,Kasvitiede,"Puutarhan kasvinsuojelu - Eripainos Suuresta puutarhakirjasta","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Puutarhan kasvinsuojelu.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Frans Salonen",,WSOY,,"1. p",1947,179,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833693,instock,simple,yes,Tietokirjallisuus->Kasvitiede,7,
Tietokirjallisuus->Kasvitiede,Kasvitiede,"Meidän puutarhan työt - Kuukausittain järjestettynä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Meidän puutarhan työt.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Frans Salonen",,WSOY,,"1. p",1936,100,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833694,instock,simple,yes,Tietokirjallisuus->Kasvitiede,7,
Tietokirjallisuus->Kasvitiede,Kasvitiede,"Kotipuutarhurin opas","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Kotipuutarhurin työt.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Frans Salonen",,WSOY,,"4. p",1950,158,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833695,instock,simple,yes,Tietokirjallisuus->Kasvitiede,7,
"Tietokirjallisuus->Kasvatus ja lastenhoito","Kasvatus ja lastenhoito",Lastenpsykiatria,"Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",lastenpsykiatria.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Vappu Taipale (ym.)",,WSOY,,"4. p",1981,248,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833696,instock,simple,yes,"Tietokirjallisuus->Kasvatus ja lastenhoito",7,
Tietokirjallisuus->Ilmailu,Ilmailu,"Vanhaa ja uutta - Historiallisia tutkielmia ja kirjoituksia","[mm. ""Ensimmäinen ilmapallo Suomessa"" ] Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Vanhaa ja uutta.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"A.R. Cederberg",,WSOY,,"1. p",1916,248,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833697,instock,simple,yes,Tietokirjallisuus->Ilmailu,7,
"Tietokirjallisuus->Yhteiskunta ja politiikka","Yhteiskunta ja politiikka","Naiset raittiustyössä - Muistojulkaisu","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Naiset raittiustyössä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,,,WSOY,,"1. p",1927,114,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833698,instock,simple,yes,"Tietokirjallisuus->Yhteiskunta ja politiikka",7,
"Tietokirjallisuus->Kielet ja kielitiede","Kielet ja kielitiede","Parasta puuroa -Sanomalehti Karjalaisessa 1996-99 julkaistuja kielipakinoita","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Parasta puuroa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Pekka Rautamaa",,WSOY,,"1. p",1999,224,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833699,instock,simple,yes,"Tietokirjallisuus->Kielet ja kielitiede",7,
Kaunokirjallisuus->Muistelmat,Muistelmat,"Viestejä menneiltä sukupolvilta","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Viestini menneiltä sukupolvilta.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Matilda Roslin-Kalliola",,WSOY,,"1. p",1921,518,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,12,,published,yes,1,,no,833700,instock,simple,yes,Kaunokirjallisuus->Muistelmat,7,
"Kaunokirjallisuus->Jännitys ja kauhu","Jännitys ja kauhu","Kuolematon kuningatar","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Kuolematon kuningatar.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"H. Rider Haggard",,WSOY,,"2. p",1960,247,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833701,instock,simple,yes,"Kaunokirjallisuus->Jännitys ja kauhu",7,
